,안암동,영등포동,이태원1동,여의동,신촌동,원효로2동,을지로동,소공동,장충동,한강로동,이화동,명동,송정동,필동
10대_유동인구수,1425269,1119524,221318,1020281,1472813,818628,309850,259063,240824,609308,590788,492109,413527,281803
20대_유동인구수,3846380,2941866,961597,1166572,6659407,690263,1094887,583888,842779,1359095,1291560,1348086,904417,721487
30대_유동인구수,1142322,3158250,817812,1762343,2164138,975094,1320181,864427,507118,1752510,1000460,1636678,793553,567970
40대_유동인구수,903320,2130232,552448,1701247,1311073,876941,1376898,791114,450575,1360878,812021,1513495,669104,532259
50대_유동인구수,923948,1802795,411054,1162169,1093560,772898,1303772,540804,395634,961853,752964,1034993,628438,500134
