,안암동,영등포동,이태원1동,여의동,신촌동,원효로2동,을지로동,소공동,장충동,한강로동,이화동,명동,송정동,필동
10대_유동인구수,506574,549854,94213,522270,587854,445982,71469,61744,97446,313920,243145,116619,209746,97573
20대_유동인구수,1548692,1736786,382398,553810,2806088,348814,503501,290409,397678,646510,621870,605964,508154,322941
30대_유동인구수,620864,1693500,379117,936392,1179167,465110,668406,461238,288570,869512,526868,829832,425838,285070
40대_유동인구수,476986,1214738,272483,891484,728930,482119,760196,430110,252945,726078,428406,742312,367314,297574
50대_유동인구수,502728,1081971,225688,582700,607815,434191,768555,285024,223181,536221,396968,488333,314408,254264
