,기준_년분기_코드,행정동_코드_명,당월_매출_금액,10대_유동인구수,20대_유동인구수,30대_유동인구수,40대_유동인구수,50대_유동인구수,60대_이상_유동인구수
6929,20241,영등포동,9157407515,915290,2451555,2631875,1775193,1502329,1917673
7020,20242,한강로동,7137455031,490864,1081372,1398631,1097436,765047,825476
7023,20242,이화동,8626080381,492323,1076300,833368,672387,613702,675116
7029,20242,신촌동,8843346550,1163627,5504791,1791284,1092561,899697,981388
7034,20242,여의동,22217743075,848288,972143,1468619,1417706,968011,1036142
7082,20242,영등포동,9280362531,861445,2422138,2588449,1721384,1444866,1855859
7085,20242,명동,14532573796,373502,1113028,1359752,1260588,854137,701647
7109,20242,장충동,1679654576,175183,653259,392458,324041,285884,346290
7271,20242,송정동,469424086,262183,635193,532297,459142,393010,556620
7273,20242,원효로2동,1823054229,561954,484349,736038,664815,585304,854406
7311,20242,안암동,6653705222,1187724,3205317,926902,728173,724675,996875
7322,20242,소공동,6968533263,212802,473171,688097,649601,440181,332057
7341,20242,을지로동,6399590430,209979,790665,1005611,1001362,964341,1036379
7346,20242,이태원1동,6447538426,164891,618505,630401,447356,311607,393337
7356,20242,필동,4246046888,234836,595266,471860,440651,416778,427819
